"input_type","input_name","output_type","output_name","value"
"industry","01_Agriculture,forestry and fishery","industry","01_Agriculture,forestry and fishery",1456611000000
"industry","02_Mining","industry","01_Agriculture,forestry and fishery",185000000
"industry","03_Manufacturing","industry","01_Agriculture,forestry and fishery",2644966000000
"industry","04_Construction","industry","01_Agriculture,forestry and fishery",70559000000
"industry","05_Electricity,gas and water supply","industry","01_Agriculture,forestry and fishery",129027000000
"industry","06_Commerce","industry","01_Agriculture,forestry and fishery",659194000000
"industry","07_Finance and insurance","industry","01_Agriculture,forestry and fishery",70578000000
"industry","08_Real estate","industry","01_Agriculture,forestry and fishery",25452000000
"industry","09_Transport and postal services","industry","01_Agriculture,forestry and fishery",621420000000
"industry","10_Information and communication","industry","01_Agriculture,forestry and fishery",40877000000
"industry","11_Public administration","industry","01_Agriculture,forestry and fishery",0
"industry","12_Services","industry","01_Agriculture,forestry and fishery",317219000000
"industry","13_Activities not elsewhere classified","industry","01_Agriculture,forestry and fishery",161503000000
"valueadded","71_Consumption expenditure outside households (row)","industry","01_Agriculture,forestry and fishery",75593000000
"valueadded","91_Compensation of employees","industry","01_Agriculture,forestry and fishery",1352308000000
"valueadded","92_Operating surplus","industry","01_Agriculture,forestry and fishery",2857901000000
"valueadded","93_Consumption of fixed capital","industry","01_Agriculture,forestry and fishery",1723077000000
"valueadded","94_Indirect taxes","industry","01_Agriculture,forestry and fishery",524698000000
"valueadded","95_(less) Current subsidies","industry","01_Agriculture,forestry and fishery",-695206000000
"industry","01_Agriculture,forestry and fishery","industry","02_Mining",75000000
"industry","02_Mining","industry","02_Mining",1467000000
"industry","03_Manufacturing","industry","02_Mining",67499000000
"industry","04_Construction","industry","02_Mining",6089000000
"industry","05_Electricity,gas and water supply","industry","02_Mining",29518000000
"industry","06_Commerce","industry","02_Mining",19228000000
"industry","07_Finance and insurance","industry","02_Mining",26912000000
"industry","08_Real estate","industry","02_Mining",7520000000
"industry","09_Transport and postal services","industry","02_Mining",194884000000
"industry","10_Information and communication","industry","02_Mining",7791000000
"industry","11_Public administration","industry","02_Mining",0
"industry","12_Services","industry","02_Mining",53084000000
"industry","13_Activities not elsewhere classified","industry","02_Mining",5797000000
"valueadded","71_Consumption expenditure outside households (row)","industry","02_Mining",36509000000
"valueadded","91_Compensation of employees","industry","02_Mining",143554000000
"valueadded","92_Operating surplus","industry","02_Mining",44464000000
"valueadded","93_Consumption of fixed capital","industry","02_Mining",74240000000
"valueadded","94_Indirect taxes","industry","02_Mining",42295000000
"valueadded","95_(less) Current subsidies","industry","02_Mining",-946000000
"industry","01_Agriculture,forestry and fishery","industry","03_Manufacturing",7793613000000
"industry","02_Mining","industry","03_Manufacturing",16857977000000
"industry","03_Manufacturing","industry","03_Manufacturing",128796467000000
"industry","04_Construction","industry","03_Manufacturing",1340627000000
"industry","05_Electricity,gas and water supply","industry","03_Manufacturing",5433465000000
"industry","06_Commerce","industry","03_Manufacturing",16319996000000
"industry","07_Finance and insurance","industry","03_Manufacturing",1667186000000
"industry","08_Real estate","industry","03_Manufacturing",589990000000
"industry","09_Transport and postal services","industry","03_Manufacturing",7634204000000
"industry","10_Information and communication","industry","03_Manufacturing",1896955000000
"industry","11_Public administration","industry","03_Manufacturing",0
"industry","12_Services","industry","03_Manufacturing",18174564000000
"industry","13_Activities not elsewhere classified","industry","03_Manufacturing",832601000000
"valueadded","71_Consumption expenditure outside households (row)","industry","03_Manufacturing",3319819000000
"valueadded","91_Compensation of employees","industry","03_Manufacturing",43270034000000
"valueadded","92_Operating surplus","industry","03_Manufacturing",7886224000000
"valueadded","93_Consumption of fixed capital","industry","03_Manufacturing",17789156000000
"valueadded","94_Indirect taxes","industry","03_Manufacturing",10487200000000
"valueadded","95_(less) Current subsidies","industry","03_Manufacturing",-185572000000
"industry","01_Agriculture,forestry and fishery","industry","04_Construction",56940000000
"industry","02_Mining","industry","04_Construction",326076000000
"industry","03_Manufacturing","industry","04_Construction",14427283000000
"industry","04_Construction","industry","04_Construction",74068000000
"industry","05_Electricity,gas and water supply","industry","04_Construction",279219000000
"industry","06_Commerce","industry","04_Construction",3707597000000
"industry","07_Finance and insurance","industry","04_Construction",705539000000
"industry","08_Real estate","industry","04_Construction",243659000000
"industry","09_Transport and postal services","industry","04_Construction",2238935000000
"industry","10_Information and communication","industry","04_Construction",473694000000
"industry","11_Public administration","industry","04_Construction",0
"industry","12_Services","industry","04_Construction",5485985000000
"industry","13_Activities not elsewhere classified","industry","04_Construction",783322000000
"valueadded","71_Consumption expenditure outside households (row)","industry","04_Construction",969175000000
"valueadded","91_Compensation of employees","industry","04_Construction",18409793000000
"valueadded","92_Operating surplus","industry","04_Construction",1031445000000
"valueadded","93_Consumption of fixed capital","industry","04_Construction",1654461000000
"valueadded","94_Indirect taxes","industry","04_Construction",1947017000000
"valueadded","95_(less) Current subsidies","industry","04_Construction",-299723000000
"industry","01_Agriculture,forestry and fishery","industry","05_Electricity,gas and water supply",0
"industry","02_Mining","industry","05_Electricity,gas and water supply",6905061000000
"industry","03_Manufacturing","industry","05_Electricity,gas and water supply",2267566000000
"industry","04_Construction","industry","05_Electricity,gas and water supply",1179541000000
"industry","05_Electricity,gas and water supply","industry","05_Electricity,gas and water supply",2867130000000
"industry","06_Commerce","industry","05_Electricity,gas and water supply",398909000000
"industry","07_Finance and insurance","industry","05_Electricity,gas and water supply",415849000000
"industry","08_Real estate","industry","05_Electricity,gas and water supply",175158000000
"industry","09_Transport and postal services","industry","05_Electricity,gas and water supply",901224000000
"industry","10_Information and communication","industry","05_Electricity,gas and water supply",451138000000
"industry","11_Public administration","industry","05_Electricity,gas and water supply",0
"industry","12_Services","industry","05_Electricity,gas and water supply",3124101000000
"industry","13_Activities not elsewhere classified","industry","05_Electricity,gas and water supply",109763000000
"valueadded","71_Consumption expenditure outside households (row)","industry","05_Electricity,gas and water supply",304990000000
"valueadded","91_Compensation of employees","industry","05_Electricity,gas and water supply",2498158000000
"valueadded","92_Operating surplus","industry","05_Electricity,gas and water supply",-2386079000000
"valueadded","93_Consumption of fixed capital","industry","05_Electricity,gas and water supply",5669897000000
"valueadded","94_Indirect taxes","industry","05_Electricity,gas and water supply",1140534000000
"valueadded","95_(less) Current subsidies","industry","05_Electricity,gas and water supply",-268267000000
"industry","01_Agriculture,forestry and fishery","industry","06_Commerce",8759000000
"industry","02_Mining","industry","06_Commerce",0
"industry","03_Manufacturing","industry","06_Commerce",3078079000000
"industry","04_Construction","industry","06_Commerce",644813000000
"industry","05_Electricity,gas and water supply","industry","06_Commerce",2104783000000
"industry","06_Commerce","industry","06_Commerce",1925850000000
"industry","07_Finance and insurance","industry","06_Commerce",1595778000000
"industry","08_Real estate","industry","06_Commerce",3217378000000
"industry","09_Transport and postal services","industry","06_Commerce",5274310000000
"industry","10_Information and communication","industry","06_Commerce",3758528000000
"industry","11_Public administration","industry","06_Commerce",0
"industry","12_Services","industry","06_Commerce",7262084000000
"industry","13_Activities not elsewhere classified","industry","06_Commerce",672799000000
"valueadded","71_Consumption expenditure outside households (row)","industry","06_Commerce",2111244000000
"valueadded","91_Compensation of employees","industry","06_Commerce",37017812000000
"valueadded","92_Operating surplus","industry","06_Commerce",15042517000000
"valueadded","93_Consumption of fixed capital","industry","06_Commerce",6512891000000
"valueadded","94_Indirect taxes","industry","06_Commerce",3480106000000
"valueadded","95_(less) Current subsidies","industry","06_Commerce",-51918000000
"industry","01_Agriculture,forestry and fishery","industry","07_Finance and insurance",0
"industry","02_Mining","industry","07_Finance and insurance",0
"industry","03_Manufacturing","industry","07_Finance and insurance",990737000000
"industry","04_Construction","industry","07_Finance and insurance",188422000000
"industry","05_Electricity,gas and water supply","industry","07_Finance and insurance",180997000000
"industry","06_Commerce","industry","07_Finance and insurance",216723000000
"industry","07_Finance and insurance","industry","07_Finance and insurance",2012259000000
"industry","08_Real estate","industry","07_Finance and insurance",631478000000
"industry","09_Transport and postal services","industry","07_Finance and insurance",1087032000000
"industry","10_Information and communication","industry","07_Finance and insurance",1901761000000
"industry","11_Public administration","industry","07_Finance and insurance",0
"industry","12_Services","industry","07_Finance and insurance",3640919000000
"industry","13_Activities not elsewhere classified","industry","07_Finance and insurance",126273000000
"valueadded","71_Consumption expenditure outside households (row)","industry","07_Finance and insurance",952195000000
"valueadded","91_Compensation of employees","industry","07_Finance and insurance",9836060000000
"valueadded","92_Operating surplus","industry","07_Finance and insurance",7138085000000
"valueadded","93_Consumption of fixed capital","industry","07_Finance and insurance",3493636000000
"valueadded","94_Indirect taxes","industry","07_Finance and insurance",545173000000
"valueadded","95_(less) Current subsidies","industry","07_Finance and insurance",-847837000000
"industry","01_Agriculture,forestry and fishery","industry","08_Real estate",176000000
"industry","02_Mining","industry","08_Real estate",0
"industry","03_Manufacturing","industry","08_Real estate",195671000000
"industry","04_Construction","industry","08_Real estate",3155658000000
"industry","05_Electricity,gas and water supply","industry","08_Real estate",420750000000
"industry","06_Commerce","industry","08_Real estate",113882000000
"industry","07_Finance and insurance","industry","08_Real estate",5383055000000
"industry","08_Real estate","industry","08_Real estate",1561970000000
"industry","09_Transport and postal services","industry","08_Real estate",175934000000
"industry","10_Information and communication","industry","08_Real estate",287010000000
"industry","11_Public administration","industry","08_Real estate",0
"industry","12_Services","industry","08_Real estate",2168719000000
"industry","13_Activities not elsewhere classified","industry","08_Real estate",344572000000
"valueadded","71_Consumption expenditure outside households (row)","industry","08_Real estate",272111000000
"valueadded","91_Compensation of employees","industry","08_Real estate",3947853000000
"valueadded","92_Operating surplus","industry","08_Real estate",29708221000000
"valueadded","93_Consumption of fixed capital","industry","08_Real estate",19495249000000
"valueadded","94_Indirect taxes","industry","08_Real estate",3998108000000
"valueadded","95_(less) Current subsidies","industry","08_Real estate",-41406000000
"industry","01_Agriculture,forestry and fishery","industry","09_Transport and postal services",2137000000
"industry","02_Mining","industry","09_Transport and postal services",114000000
"industry","03_Manufacturing","industry","09_Transport and postal services",7050143000000
"industry","04_Construction","industry","09_Transport and postal services",686950000000
"industry","05_Electricity,gas and water supply","industry","09_Transport and postal services",676682000000
"industry","06_Commerce","industry","09_Transport and postal services",1325358000000
"industry","07_Finance and insurance","industry","09_Transport and postal services",995808000000
"industry","08_Real estate","industry","09_Transport and postal services",1016734000000
"industry","09_Transport and postal services","industry","09_Transport and postal services",5126066000000
"industry","10_Information and communication","industry","09_Transport and postal services",542574000000
"industry","11_Public administration","industry","09_Transport and postal services",0
"industry","12_Services","industry","09_Transport and postal services",6185168000000
"industry","13_Activities not elsewhere classified","industry","09_Transport and postal services",373710000000
"valueadded","71_Consumption expenditure outside households (row)","industry","09_Transport and postal services",823768000000
"valueadded","91_Compensation of employees","industry","09_Transport and postal services",14100784000000
"valueadded","92_Operating surplus","industry","09_Transport and postal services",2228570000000
"valueadded","93_Consumption of fixed capital","industry","09_Transport and postal services",5328246000000
"valueadded","94_Indirect taxes","industry","09_Transport and postal services",1996355000000
"valueadded","95_(less) Current subsidies","industry","09_Transport and postal services",-225133000000
