"input_type","input_name","output_type","output_name","value_M"
"industry","01_Agriculture,forestry and fishery","industry","01_Agriculture,forestry and fishery",1456611
"industry","02_Mining","industry","01_Agriculture,forestry and fishery",185
"industry","03_Manufacturing","industry","01_Agriculture,forestry and fishery",2644966
"industry","04_Construction","industry","01_Agriculture,forestry and fishery",70559
"industry","05_Electricity,gas and water supply","industry","01_Agriculture,forestry and fishery",129027
"industry","06_Commerce","industry","01_Agriculture,forestry and fishery",659194
"industry","07_Finance and insurance","industry","01_Agriculture,forestry and fishery",70578
"industry","08_Real estate","industry","01_Agriculture,forestry and fishery",25452
"industry","09_Transport and postal services","industry","01_Agriculture,forestry and fishery",621420
"industry","10_Information and communication","industry","01_Agriculture,forestry and fishery",40877
"industry","11_Public administration","industry","01_Agriculture,forestry and fishery",0
"industry","12_Services","industry","01_Agriculture,forestry and fishery",317219
"industry","13_Activities not elsewhere classified","industry","01_Agriculture,forestry and fishery",161503
"valueadded","71_Consumption expenditure outside households (row)","industry","01_Agriculture,forestry and fishery",75593
"valueadded","91_Compensation of employees","industry","01_Agriculture,forestry and fishery",1352308
"valueadded","92_Operating surplus","industry","01_Agriculture,forestry and fishery",2857901
"valueadded","93_Consumption of fixed capital","industry","01_Agriculture,forestry and fishery",1723077
"valueadded","94_Indirect taxes","industry","01_Agriculture,forestry and fishery",524698
"valueadded","95_(less) Current subsidies","industry","01_Agriculture,forestry and fishery",-695206
"industry","01_Agriculture,forestry and fishery","industry","02_Mining",75
"industry","02_Mining","industry","02_Mining",1467
"industry","03_Manufacturing","industry","02_Mining",67499
"industry","04_Construction","industry","02_Mining",6089
"industry","05_Electricity,gas and water supply","industry","02_Mining",29518
"industry","06_Commerce","industry","02_Mining",19228
"industry","07_Finance and insurance","industry","02_Mining",26912
"industry","08_Real estate","industry","02_Mining",7520
"industry","09_Transport and postal services","industry","02_Mining",194884
"industry","10_Information and communication","industry","02_Mining",7791
"industry","11_Public administration","industry","02_Mining",0
"industry","12_Services","industry","02_Mining",53084
"industry","13_Activities not elsewhere classified","industry","02_Mining",5797
"valueadded","71_Consumption expenditure outside households (row)","industry","02_Mining",36509
"valueadded","91_Compensation of employees","industry","02_Mining",143554
"valueadded","92_Operating surplus","industry","02_Mining",44464
"valueadded","93_Consumption of fixed capital","industry","02_Mining",74240
"valueadded","94_Indirect taxes","industry","02_Mining",42295
"valueadded","95_(less) Current subsidies","industry","02_Mining",-946
"industry","01_Agriculture,forestry and fishery","industry","03_Manufacturing",7793613
"industry","02_Mining","industry","03_Manufacturing",16857977
"industry","03_Manufacturing","industry","03_Manufacturing",128796467
"industry","04_Construction","industry","03_Manufacturing",1340627
"industry","05_Electricity,gas and water supply","industry","03_Manufacturing",5433465
"industry","06_Commerce","industry","03_Manufacturing",16319996
"industry","07_Finance and insurance","industry","03_Manufacturing",1667186
"industry","08_Real estate","industry","03_Manufacturing",589990
"industry","09_Transport and postal services","industry","03_Manufacturing",7634204
"industry","10_Information and communication","industry","03_Manufacturing",1896955
"industry","11_Public administration","industry","03_Manufacturing",0
"industry","12_Services","industry","03_Manufacturing",18174564
"industry","13_Activities not elsewhere classified","industry","03_Manufacturing",832601
"valueadded","71_Consumption expenditure outside households (row)","industry","03_Manufacturing",3319819
"valueadded","91_Compensation of employees","industry","03_Manufacturing",43270034
"valueadded","92_Operating surplus","industry","03_Manufacturing",7886224
"valueadded","93_Consumption of fixed capital","industry","03_Manufacturing",17789156
"valueadded","94_Indirect taxes","industry","03_Manufacturing",10487200
"valueadded","95_(less) Current subsidies","industry","03_Manufacturing",-185572
"industry","01_Agriculture,forestry and fishery","industry","04_Construction",56940
"industry","02_Mining","industry","04_Construction",326076
"industry","03_Manufacturing","industry","04_Construction",14427283
"industry","04_Construction","industry","04_Construction",74068
"industry","05_Electricity,gas and water supply","industry","04_Construction",279219
"industry","06_Commerce","industry","04_Construction",3707597
"industry","07_Finance and insurance","industry","04_Construction",705539
"industry","08_Real estate","industry","04_Construction",243659
"industry","09_Transport and postal services","industry","04_Construction",2238935
"industry","10_Information and communication","industry","04_Construction",473694
"industry","11_Public administration","industry","04_Construction",0
"industry","12_Services","industry","04_Construction",5485985
"industry","13_Activities not elsewhere classified","industry","04_Construction",783322
"valueadded","71_Consumption expenditure outside households (row)","industry","04_Construction",969175
"valueadded","91_Compensation of employees","industry","04_Construction",18409793
"valueadded","92_Operating surplus","industry","04_Construction",1031445
"valueadded","93_Consumption of fixed capital","industry","04_Construction",1654461
"valueadded","94_Indirect taxes","industry","04_Construction",1947017
"valueadded","95_(less) Current subsidies","industry","04_Construction",-299723
"industry","01_Agriculture,forestry and fishery","industry","05_Electricity,gas and water supply",0
"industry","02_Mining","industry","05_Electricity,gas and water supply",6905061
"industry","03_Manufacturing","industry","05_Electricity,gas and water supply",2267566
"industry","04_Construction","industry","05_Electricity,gas and water supply",1179541
"industry","05_Electricity,gas and water supply","industry","05_Electricity,gas and water supply",2867130
"industry","06_Commerce","industry","05_Electricity,gas and water supply",398909
"industry","07_Finance and insurance","industry","05_Electricity,gas and water supply",415849
"industry","08_Real estate","industry","05_Electricity,gas and water supply",175158
"industry","09_Transport and postal services","industry","05_Electricity,gas and water supply",901224
"industry","10_Information and communication","industry","05_Electricity,gas and water supply",451138
"industry","11_Public administration","industry","05_Electricity,gas and water supply",0
"industry","12_Services","industry","05_Electricity,gas and water supply",3124101
"industry","13_Activities not elsewhere classified","industry","05_Electricity,gas and water supply",109763
"valueadded","71_Consumption expenditure outside households (row)","industry","05_Electricity,gas and water supply",304990
"valueadded","91_Compensation of employees","industry","05_Electricity,gas and water supply",2498158
"valueadded","92_Operating surplus","industry","05_Electricity,gas and water supply",-2386079
"valueadded","93_Consumption of fixed capital","industry","05_Electricity,gas and water supply",5669897
"valueadded","94_Indirect taxes","industry","05_Electricity,gas and water supply",1140534
"valueadded","95_(less) Current subsidies","industry","05_Electricity,gas and water supply",-268267
"industry","01_Agriculture,forestry and fishery","industry","06_Commerce",8759
"industry","02_Mining","industry","06_Commerce",0
"industry","03_Manufacturing","industry","06_Commerce",3078079
"industry","04_Construction","industry","06_Commerce",644813
"industry","05_Electricity,gas and water supply","industry","06_Commerce",2104783
"industry","06_Commerce","industry","06_Commerce",1925850
"industry","07_Finance and insurance","industry","06_Commerce",1595778
"industry","08_Real estate","industry","06_Commerce",3217378
"industry","09_Transport and postal services","industry","06_Commerce",5274310
"industry","10_Information and communication","industry","06_Commerce",3758528
"industry","11_Public administration","industry","06_Commerce",0
"industry","12_Services","industry","06_Commerce",7262084
"industry","13_Activities not elsewhere classified","industry","06_Commerce",672799
"valueadded","71_Consumption expenditure outside households (row)","industry","06_Commerce",2111244
"valueadded","91_Compensation of employees","industry","06_Commerce",37017812
"valueadded","92_Operating surplus","industry","06_Commerce",15042517
"valueadded","93_Consumption of fixed capital","industry","06_Commerce",6512891
"valueadded","94_Indirect taxes","industry","06_Commerce",3480106
"valueadded","95_(less) Current subsidies","industry","06_Commerce",-51918
"industry","01_Agriculture,forestry and fishery","industry","07_Finance and insurance",0
"industry","02_Mining","industry","07_Finance and insurance",0
"industry","03_Manufacturing","industry","07_Finance and insurance",990737
"industry","04_Construction","industry","07_Finance and insurance",188422
"industry","05_Electricity,gas and water supply","industry","07_Finance and insurance",180997
"industry","06_Commerce","industry","07_Finance and insurance",216723
"industry","07_Finance and insurance","industry","07_Finance and insurance",2012259
"industry","08_Real estate","industry","07_Finance and insurance",631478
"industry","09_Transport and postal services","industry","07_Finance and insurance",1087032
"industry","10_Information and communication","industry","07_Finance and insurance",1901761
"industry","11_Public administration","industry","07_Finance and insurance",0
"industry","12_Services","industry","07_Finance and insurance",3640919
"industry","13_Activities not elsewhere classified","industry","07_Finance and insurance",126273
"valueadded","71_Consumption expenditure outside households (row)","industry","07_Finance and insurance",952195
"valueadded","91_Compensation of employees","industry","07_Finance and insurance",9836060
"valueadded","92_Operating surplus","industry","07_Finance and insurance",7138085
"valueadded","93_Consumption of fixed capital","industry","07_Finance and insurance",3493636
"valueadded","94_Indirect taxes","industry","07_Finance and insurance",545173
"valueadded","95_(less) Current subsidies","industry","07_Finance and insurance",-847837
