"input_type","input_name","output_type","output_name","value"
"industry","01_primary","industry","01_primary",1456611000000
"industry","01_primary","industry","02_secondary",7850628000000
"industry","01_primary","industry","03_tertiary",1373767000000
"industry","01_primary","finaldemand","04_finaldemand",3869875000000
"industry","01_primary","export","05_export",47890000000
"industry","01_primary","import","06_import",-2562809000000
"industry","02_secondary","industry","01_primary",2715710000000
"industry","02_secondary","industry","02_secondary",161897553000000
"industry","02_secondary","industry","03_tertiary",62841827000000
"industry","02_secondary","finaldemand","04_finaldemand",132924323000000
"industry","02_secondary","export","05_export",54473273000000
"industry","02_secondary","import","06_import",-71673715000000
"industry","03_tertiary","industry","01_primary",2025270000000
"industry","03_tertiary","industry","02_secondary",66811645000000
"industry","03_tertiary","industry","03_tertiary",155796589000000
"industry","03_tertiary","finaldemand","04_finaldemand",352324555000000
"industry","03_tertiary","export","05_export",16423417000000
"industry","03_tertiary","import","06_import",-8921553000000
"valueadded","04_valueadded","industry","01_primary",5838371000000
"valueadded","04_valueadded","industry","02_secondary",106619145000000
"valueadded","04_valueadded","industry","03_tertiary",364447740000000
